1.1,0.0977601998
3.1,0.174783737
5.1,0.2349572581
7.1,0.2845963262
12.1,0.3846295144
17.1,0.4565562661
22.1,0.5135314213
27.1,0.5571324962
32.1,0.5952466637
37.1,0.6271657734
42.1,0.6541027955
47.1,0.6790957059
52.1,0.7026772855
57.1,0.7207867957
62.1,0.7378093042
67.1,0.7527797418
72.1,0.7667195217
77.1,0.7826460059
82.1,0.7926127903
87.1,0.8036890665
92.1,0.8126971193
97.1,0.8200648977
102.1,0.8299734111
107.1,0.8374219716
115.1,0.8478726383
123.1,0.8583356327
131.1,0.8682122633
139.1,0.8766409527
147.1,0.8834150677
155.1,0.8891601355
163.1,0.8962832942
171.1,0.9022124512
179.1,0.9077612542
187.1,0.914217411
195.1,0.9207008732
203.1,0.9224623019
211.1,0.92808996
219.1,0.9294081919
227.1,0.9354150696
237.1,0.9397991118
247.1,0.9428710763
257.1,0.9458128153
267.1,0.9484635021
277.1,0.9541724157
287.1,0.9556748509
297.1,0.9591829091
307.1,0.9631354145
317.1,0.9646526788
327.1,0.9664148798
337.1,0.9666498127
347.1,0.9697618561
357.1,0.9724616419
367.1,0.973778977
377.1,0.9750848225
387.1,0.9792881657
397.1,0.9793739011
407.1,0.979256188
417.1,0.979441914
427.1,0.9797923127
